                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.64499,                 3.5698,                 1.1462,                  0.321,                0.44562,                0.29164,                0.25885,                0.48869,                 2.6559,                 1.0225,             0.00013778,             0.00013778,             0.00013778
                      2,                0.58054,                 2.5003,                 1.0991,                0.68641,                0.66195,                0.75387,                0.69522,                0.39186,                 1.6699,                 0.9551,             0.00013977,             0.00013977,             0.00013977
