                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.51978,                 1.8689,                 1.0595,                0.81639,                0.89089,                 0.9565,                0.86252,                0.42025,                 1.2162,                0.94451,             0.00013778,             0.00013778,             0.00013778
                      2,                0.48666,                0.78916,                 1.0075,                 0.9167,                0.95738,                0.98719,                 0.9346,                0.30344,                0.48519,                0.85867,             0.00013977,             0.00013977,             0.00013977
